STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",KI,Kiribati,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,268950,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",KI,Kiribati,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,30750,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",WS,Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,22048411,,USD,USD,G,Global,C,Country Data,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",FM,Micronesia (Federated States of),_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,20310000,,USD,USD,G,Global,C,Country Data,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",FM,Micronesia (Federated States of),_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,196875,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",FM,Micronesia (Federated States of),_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,8270325,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",FJ,Fiji,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2010,,24623058,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",FJ,Fiji,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2011,,1224504,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",FJ,Fiji,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,141400784,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",FJ,Fiji,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,374109863,,USD,USD,G,Global,C,Country Data,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
