STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_SDG(3.0),Sustainable Development Goals (all),I,A,Annual,EG_FEC_RNEW,7.2.1 Renewable energy share in the total final energy consumption,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2000,,0,,PERCENT,percent,G,Global,E,Estimated,"Energy Balances, UN Statistics Division (2024)",,,,,
DATAFLOW,SPC:DF_SDG(3.0),Sustainable Development Goals (all),I,A,Annual,EG_FEC_RNEW,7.2.1 Renewable energy share in the total final energy consumption,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2001,,0,,PERCENT,percent,G,Global,E,Estimated,"Energy Balances, UN Statistics Division (2024)",,,,,
DATAFLOW,SPC:DF_SDG(3.0),Sustainable Development Goals (all),I,A,Annual,EG_FEC_RNEW,7.2.1 Renewable energy share in the total final energy consumption,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2002,,0,,PERCENT,percent,G,Global,E,Estimated,"Energy Balances, UN Statistics Division (2024)",,,,,
DATAFLOW,SPC:DF_SDG(3.0),Sustainable Development Goals (all),I,A,Annual,EG_FEC_RNEW,7.2.1 Renewable energy share in the total final energy consumption,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2003,,0,,PERCENT,percent,G,Global,E,Estimated,"Energy Balances, UN Statistics Division (2024)",,,,,
DATAFLOW,SPC:DF_SDG(3.0),Sustainable Development Goals (all),I,A,Annual,EG_FEC_RNEW,7.2.1 Renewable energy share in the total final energy consumption,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2004,,0,,PERCENT,percent,G,Global,E,Estimated,"Energy Balances, UN Statistics Division (2024)",,,,,
DATAFLOW,SPC:DF_SDG(3.0),Sustainable Development Goals (all),I,A,Annual,EG_FEC_RNEW,7.2.1 Renewable energy share in the total final energy consumption,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2005,,0,,PERCENT,percent,G,Global,E,Estimated,"Energy Balances, UN Statistics Division (2024)",,,,,
DATAFLOW,SPC:DF_SDG(3.0),Sustainable Development Goals (all),I,A,Annual,EG_FEC_RNEW,7.2.1 Renewable energy share in the total final energy consumption,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2006,,0,,PERCENT,percent,G,Global,E,Estimated,"Energy Balances, UN Statistics Division (2024)",,,,,
DATAFLOW,SPC:DF_SDG(3.0),Sustainable Development Goals (all),I,A,Annual,EG_FEC_RNEW,7.2.1 Renewable energy share in the total final energy consumption,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2007,,0,,PERCENT,percent,G,Global,E,Estimated,"Energy Balances, UN Statistics Division (2024)",,,,,
DATAFLOW,SPC:DF_SDG(3.0),Sustainable Development Goals (all),I,A,Annual,EG_FEC_RNEW,7.2.1 Renewable energy share in the total final energy consumption,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2008,,0,,PERCENT,percent,G,Global,E,Estimated,"Energy Balances, UN Statistics Division (2024)",,,,,
DATAFLOW,SPC:DF_SDG(3.0),Sustainable Development Goals (all),I,A,Annual,EG_FEC_RNEW,7.2.1 Renewable energy share in the total final energy consumption,AS,American Samoa,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2009,,0,,PERCENT,percent,G,Global,E,Estimated,"Energy Balances, UN Statistics Division (2024)",,,,,
